Placette;Vol_BMP_AC.m3;Vol_BMP_UC.m3;Vol_BMP_LC.m3;Vol_BMP_BC.m3
T_118;0;0.031;0.004;0.016
T_19;0;0.069;0.043;0.016
T_207;0.008;0.192;0.188;0
T_315;0.006;0.073;0.112;0
T_327;0;0.069;0;0
T_337;0;0.051;0.247;0
T_350;0.016;0.092;0.134;0
T_368;0;0.012;0.008;0
T_413;0;0.004;0.018;0.026
T_43;0;0.02;0.026;0
V_170;0;0;0;0.004
V_179;0;0.004;0.071;0.065
V_22;0;0.008;0.035;0
V_236;0;0.014;0.461;0
V_249;0;0.063;0.02;0
V_270;0;0;0.002;0.145
V_290;0;0.002;0.033;0
V_63;0;0.012;0.006;0.024
V_71;0;0.031;0.006;0.079
V_81;0;0;0.037;0
