placette;Seuil_superieur_(AC);Seuil_inferieur_(AC);Seuil_superieur_(UC);Seuil_inferieur_(UC);Seuil_superieur_(LC);Seuil_inferieur_(LC);Seuil_superieur_(BC);Seuil_inferieur_(BC)
T_19;40;38;38;28.5;28.5;19;19;0
T_43;36;34;34;24.5;24.5;15;15;0
T_118;33;31;31;23;23;15;15;0
T_207;36;35;35;24.5;24.5;14;14;0
T_315;41;38;38;29;29;20;20;0
T_327;36;33;33;23;23;13;13;0
T_337;37;36;36;26;26;16;16;0
T_350;32;29;29;21;21;13;13;0
T_368;34;32;32;21.5;21.5;11;11;0
T_413;NA;NA;NA;NA;NA;NA;NA;0
V_81;28;26.2;26.2;19.45;19.45;12.7;12.7;0
V_22;31;30;30;18.5;18.5;7;7;0
V_63;32;30.1;30.1;24.95;24.95;19.8;19.8;0
V_71;29.2;27.2;27.2;19.7;19.7;12.2;12.2;0
V_170;31;29.7;29.7;22.65;22.65;15.6;15.6;0
V_179;33.6;31;31;24.8;24.8;18.6;18.6;0
V_236;27.7;25.2;25.2;17.1;17.1;9;9;0
V_249;28;25.7;25.7;20.15;20.15;14.6;14.6;0
V_270;27;26;26;19;19;12;12;0
V_290;26;25;25;20;20;15;15;0
